Lateinisches Wort,Formen,Übersetzung,Zahl
liberare,(m.Abl.),befreien (von),6
liber,libri m,das Buch,13
liber,"libera, liberum (a/ab)",frei (von),8
libenter,-,gern,2
lex scripta,legis scriptae f,das geschriebene Recht,35
lex nata,legis natae f,das naturrecht,35
lex,legis f,"das Gesetz, die Bedingung",33
lex,legis f,"das Gesetz, die Bedingung",32
lex,legis f,"das Gesetz, die Bedingung",31
levis,leve,"leicht, leichtsinnig, wankelmütig",10
leo,leonis m,der Löwe,21
legere,"lego, legi, lectum","lesen, sammlen, auswählen",17
legere,"lego, legi, lectum","lesen, sammlen, auswählen",10
legatus,-i m,"der Gesandte, der Offizier, der Unterfeldherr",15
legatus,-i m,"der Gesandte, der Offizier, der Unterfeldherr",6
lectus,-i m,"das Bett, das Lager",25
laurus,-i f,der Lorbeer(baum),39
laudare,-,loben,2
laudabilis,laudabile,lobenswert,28
latus,lateris n,"die Seite, die Flanke",37
latro,latronis m,der Räuber,35
latere,-,verborgen sein,7
laetus,"-a, -um","froh, fröhlich",9
laetitia,laetitiae f,"die Freude, die Fröhlichkeit",36
laetitia,laetitiae f,"die Freude, die Fröhlichkeit",35
laetitia,laetitiae f,"die Freude, die Fröhlichkeit",34
lacrimas dare,-,weinen,25
lacrima,-ae f,die Träne,12
lacertus,-i m,der (Ober-)Arm,39
laborare,-,"arbeiten, leiden, (m.Abl.) leiden (an)",6
laborare,-,"arbeiten, leiden, (m.Abl.) leiden (an)",1
labor,laboris m,"die Arbeit, die Mühe",13
iuvenis,iuvenis m,der junge Mann,7
iuvenalis,iuvenale ,"jung, jugendlich",39
iuvare,"iuvo, iuvi, iutum (m.Akk.)","helfen, unterstützen, erfreuen",17
iuvare,"iuvo, iuvi, iutum (m.Akk.)","helfen, unterstützen, erfreuen",10
iustus,"-a, -um","gerecht, rechtschaffen",14
iusiurandum dare,-,einen Eid schwören,25
iusiurandum/ius iurandum,iuris iurandi n,"der Eid, der Schwur",25
ius ,iuris n,das Recht,33
ius,iuris n,das Recht,32
ius,iuris n,das recht,31
iudicum,-i n,"das Urteil, die Entscheidung, das Gericht",12
iudicare,-,"urteilen, beurteilen, entscheiden",24
iudex,iudicis m,der Richter,14
iucundus,"-a, -um","angenehm, erfreulich",13
iubere,"iubeo, iussi, iussum (m.Akk.)","befehlen, anordnen",15
iubere,"iubeo, iussi, iussum (m.Akk.)","befehlen, anordnen",13
iterum atque iterum,-,immer wieder,9
iterum,-,"wiederum, ein zweites Mal",9
iter,itineris n,"der Weg, die Reise, der Marsch",22
item,-,ebenso,31
itaque,-,"daher, deshalb",11
ita,-,so,3
iste,"ista, istud","dieser, dieser da",30
iste,"ista, istud","dieser, dieser da",29
iste,"ista, istud","dieser, dieser da",28
iste,"ista, istud","dieser, dieser da",27
is,"ea, id","dieser, der(jenige), er",13
ire,"eo, ii, itum",gehen,29
iratus,"-a, -um","zornig, erzürnt",14
iram incendere,-,Zorn erregen,10
ira,-ae f,"der Zorn, die Wut",10
ipse,"ipsa, ipsum","selbst, persönlich, gerade",28
invitare,-,einladen,17
invidia,-ae f,"der Neid, die Anfeindung, die Missgunst",27
invenire ,"invenio, inveni, inventum","finden, auffinden, erfinden",25
invenire,"invenio, inveni, inventum","finden, auffinden, erfinden",17
invenire,"invenio, inveni, inventum","finden, auffinden, erfinden",4
inutilis,inutile,"unnütz, unbrauchbar",33
inutilis,inutile,"unnütz, unbrauchbar",32
inutilis,inutile,"unnütz, unbrauchbar",31
intrare,-,"betreten, eintreten (in)",2
intra,(m.Akk.),innerhalb,30
intervenire,"intervenio, interveni, interventum","dazwischenkommen, sich ereignen",42
interpretatio(ionis) Romana(ae),f,"die Praxis, „fremde“ Götter mit römischen Namen zu übersetzen und zu interpretieren",32
interpretari,"interpretor, interpretatus sum","deuten, erklären",32
interficere,"interficio, interfeci, interfectum","töten, vernichten",23
interficere,"interficio, interfeci, interfectum","töten, vernichten",14
ludis interesse,-,an den Spielen teilnehmen,17
interesse,"intersum, interfui, - (m.Dat.)","dazwischen sein, teilnehmen (an)",17
interea,-,inzwischen,6
inter se,-,untereinander,16
inter,(m.Akk.),"zwischen, unter, während",7
intellegere,"intellego, intellexi, intellectum","erkennen, verstehen, einsehen",16
intellegere,"intellego, intellexi, intellectum","erkennen, verstehen, einsehen",10
insula,-ae f,"die Insel, der Wohnblock",9
insula,-ae f,"die Insel, der Wohnblock",4
instruere,"instruo, instruxi, instructum","einrichten, unterweisen, erbauen",20
instare,"insto, institi, -","bevorstehen, drohen",20
insidiator,insidiatoris m,"der Wegelagerer, der Räuber",34
insidias parare,-,einen Hinterhalt legen,19
insidiae,-arum f(Pl.),"der Hinterhalt, die Falle",19
insequi,"insequor, insecutus sum (m.Akk.)","(unmittelbar) folgen, verfolgen, (mit Worten) angreifen",39
inquam/inquis/inquit,-,sag(t)e ich/(sag(te)st du/sagt(e) er/sie/es),21
inopia,inopiae f,"die Armut, die Not",33
inopia,inopiae f,"die Armut, die Not",32
inopia,inopiae f,"die Armut, die Not",31
iniustus,"-a, -um",ungerecht,35
iniuria,-ae f,"das Unrecht, die Beleidigung",29
initium,-i n,"der Eingang, der Ausgang",21
consilium inire,-,einen Beschluss fassen,29
inire,"ineo, inii, initum","hineingehen, betreten, beginnen",29
inimicus,"-a, -um","feindlich, (Subst.) der (persönliche) Feind",8
inicere,"inicio, inieci, iniectum","hineinwerfen, hervorrufen",30
inicere,"inicio, inieci, iniectum","hineinwerfen, hervorrufen",29
inicere,"inicio, inieci, iniectum","hineinwerfen, hervorrufen",28
inicere,"inicio, inieci, iniectum","hineinwerfen, hervorrufen",27
inhumanus,"-a, -um","unmenschlich, ungebildet",42
inhumanus,"-a, -um","unmenschlich, ungebildet",41
inhumanus,"-a, -um","unmenschlich, ungebildet",40
ingens,Gen. ingentis,"riesig, gewaltig",10
ingenium,-i n,"die Begabung, das Genie",25
bellum inferre,-,angreifen,30
inferre,"infero, intuli, illatum (m.Dat.)","hineintragen, einflößen",30
inferi,-orum m,die (Bewohner der) Unterwelt,22
infelix,Gen. infelicis,unglücklich,24
incredibilis,incredibile,unglaublich,15
incolumis,incolume,"heil, unversehrt",10
incipere,"incipio, coepi, coeptum","anfangen, beginnen",23
incipere,"incipio, coepi, coeptum","anfangen, beginnen",19
incipere,"incipio, coepi, coeptum","anfangen, beginnen",5
incidere,"incido, incidi, -","geraten (in), stoßen (auf), sich ereignen",35
incertus,"-a, -um","unsicher, ungewiss, unbestimmt",26
inceptum,-i n,das Vorhaben,30
inceptum,-i n,das Vorhaben,29
inceptum,-i n,das Vorhaben,28
inceptum,-i n,das Vorhaben,27
incendere,"incendo, incendi, incensum","entflammen, in Brand setzen",18
incendere,"incendo, incendi, incensum","entflammen, in Brand setzen",8
inanis,inane,"sinnlos, wertlos, leer",36
in hostes,-,gegen die Feinde,7
in,(m.Akk.),"in (…hinein), auf, nach (…hin), gegen (wohin?)",7
in,(m.Abl.),"in, an, auf, bei (wo?)",7
